Material,Length,radius,Fratio,TDL,slope,intercept,AvgCurv,CurvDiff
SUS304,0.402,0.01,5,0.0035589587725610716,-0.5079550384001176,0.9874120902211777,0.885313127502754,0.10209896271842367
SUS304,0.402,0.01,7,0.00524464878548782,-1.0285668569279112,1.5113809396076394,1.3046390013651292,0.2067419382425102
SUS304,0.402,0.01,9,0.007107500282795877,-1.8093220969594095,2.131708637706721,1.7680348962178796,0.36367374148884135
SUS304,0.402,0.01,11,0.00921905861265114,-2.8590147310939744,2.8679601233009184,2.2932981623510296,0.5746619609498889
SUS304,0.402,0.01,13,0.011662851769909116,-4.43673060190183,3.7929897589198585,2.9012069079375906,0.8917828509822678
SUS304,0.402,0.01,15,0.014697724880074122,-6.928108240724304,5.048700224065715,3.6561504676801295,1.392549756385585
SUS304,0.451,0.01,5,0.003608967689475077,-0.45961662906913986,0.9038581151488997,0.8002145652938086,0.10364354985509106
SUS304,0.451,0.01,7,0.0053485782628758735,-0.9260980603618503,1.3947726431827445,1.1859375305711473,0.20883511261159726
SUS304,0.451,0.01,9,0.007302088872047301,-1.5988010870769438,1.979618086831483,1.6190884416956322,0.36052964513585084
SUS304,0.451,0.01,11,0.009525963551013063,-2.6074855300529154,2.7001750271628664,2.112187040135934,0.5879879870269322
SUS304,0.451,0.01,13,0.012186220087740554,-4.100703103300757,3.626752915146993,2.7020443653526725,0.9247085497943206
SUS304,0.451,0.01,15,0.01568410700480356,-6.695052162289495,4.987363310224565,3.477629047628284,1.5097342625962815
SUS304,0.5,0.01,7,0.00545516203607321,-0.8384663250127787,1.3006489884678367,1.091032407214642,0.2096165812531947
SUS304,0.5,0.01,9,0.007488937754058982,-1.464775354477336,1.8639813894311303,1.4977875508117964,0.36619383861933397
SUS304,0.5,0.01,11,0.00985505045751315,-2.3822137386806466,2.5665635261727915,1.9710100915026298,0.5955534346701616
SUS304,0.5,0.01,13,0.01275374567088313,-3.8575460416184977,3.5151356445812505,2.550749134176626,0.9643865104046245
SUS304,0.5,0.01,15,0.016938826593137436,-6.68479593717865,5.058964302922149,3.387765318627487,1.6711989842946622
SUS304,0.5,0.01,5,0.003662460156228199,-0.4114508416054694,0.8353547416470071,0.7324920312456398,0.1028627104013673
NiTi,0.01,0.001,5,0.0003256053908971333,-206.5826784224738,33.5934524818257,32.56053908971333,1.0329133921123699
NiTi,0.01,0.001,7,0.00046367555172780774,-408.8904512504681,48.41200742903311,46.36755517278077,2.0444522562523417
NiTi,0.01,0.001,9,0.0006065933767951604,-698.4030192413531,64.1513527757228,60.659337679516035,3.4920150962067638
NiTi,0.01,0.001,11,0.0007549912588064031,-1080.359972038046,80.90092574083053,75.4991258806403,5.4017998601902235
NiTi,0.01,0.001,13,0.0009094695704374049,-1578.627876935861,98.84009642841978,90.94695704374048,7.893139384679301
NiTi,0.01,0.001,15,0.0010711093303428431,-2211.4552179350057,118.16820912395934,107.11093303428432,11.057276089675028
NiTi,0.059,0.002,5,0.0006891945346045095,-17.419009100970374,6.354492417669385,5.840631649190759,0.5138607684786258
NiTi,0.059,0.002,7,0.001003806031024337,-34.581217959322956,9.526976701192714,8.506830771392687,1.0201459298000266
NiTi,0.059,0.002,9,0.0013432310607734432,-60.20241182022057,13.159285223047721,11.383314074351215,1.775971148696506
NiTi,0.059,0.002,11,0.0017153109486713627,-94.0197294742262,17.310115482806307,14.536533463316633,2.773582019489673
NiTi,0.059,0.002,13,0.0021268186012651656,-141.95414958158162,22.21153386405637,18.02388645139971,4.187647412656659
NiTi,0.059,0.002,15,0.002596740475093322,-209.04053394451083,28.17297096401834,22.00627521265527,6.1666957513630685
NiTi,0.059,0.003,7,0.001444924816429464,-23.07859184135245,8.844235501294271,8.163417041974373,0.680818459319898
NiTi,0.059,0.003,9,0.0019112919450007307,-39.61438950191617,11.966884066581843,10.798259576275315,1.1686244903065273
NiTi,0.059,0.003,11,0.002407976999012402,-61.410758729232306,15.416007207441178,13.604389824928825,1.8116173825123525
NiTi,0.059,0.003,13,0.0029394667371577094,-90.82236162259743,19.286416374972326,16.607156707105702,2.6792596678666243
NiTi,0.059,0.003,15,0.00351634835150102,-129.50842906889133,23.686873524769698,19.866374867237404,3.820498657532294
NiTi,0.059,0.003,5,0.0010040183896846226,-11.45874586726228,6.01045328378832,5.672420280704083,0.3380330030842371
NiTi,0.059,0.004,5,0.0013193624491185055,-8.671942019408858,5.846341141769619,5.590518852197057,0.2558222895725617
NiTi,0.059,0.004,7,0.0018886332483814845,-17.162052824395115,8.508963814173404,8.002683255853748,0.5062805583196557
NiTi,0.059,0.004,9,0.0024834577537885465,-29.547258485640146,11.394770200701581,10.523126075375197,0.8716441253263838
NiTi,0.059,0.004,11,0.003108144849127111,-45.98265771910073,14.526593695624959,13.170105292911487,1.356488402713472
NiTi,0.059,0.004,13,0.003768629523321409,-66.87898220061078,17.94169914153416,15.968769166616141,1.9729299749180171
NiTi,0.059,0.004,15,0.004469033426883062,-94.92784603719856,21.736953775398465,18.93658231730111,2.8003714580973558
NiTi,0.059,0.005,15,0.005438006836986015,-75.13561659512669,20.65042217086476,18.433921481308523,2.216500689556238
NiTi,0.059,0.005,5,0.0016359503982238067,-6.870446684940418,5.7482727474559345,5.545594570250192,0.20267817720574222
NiTi,0.059,0.005,7,0.0023335719045402764,-13.830383569880597,8.318409551041228,7.9104132357297505,0.4079963153114772
NiTi,0.059,0.005,9,0.0030589924201822045,-23.5213341804734,11.063345189450082,10.369465831126117,0.6938793583239651
NiTi,0.059,0.005,11,0.0038139348041208564,-36.842483716636394,14.01544582598266,12.928592556341886,1.0868532696407733
NiTi,0.059,0.005,13,0.004606090993428308,-53.36482395996069,17.188130081152085,15.613867774333245,1.5742623068188397
NiTi,0.108,0.003,13,0.0033727349634955356,-53.57232239418934,13.30258122254405,10.409675813257827,2.8929054092862234
NiTi,0.108,0.003,15,0.004190314899160264,-81.46398236129632,17.332125723930567,12.933070676420567,4.39905504751
NiTi,0.108,0.003,5,0.0010546159283868167,-6.2707697057953755,3.5936089974055947,3.2549874332926443,0.3386215641129504
NiTi,0.108,0.003,7,0.0015471223155184449,-12.619256608543616,5.456508731918285,4.775068875056929,0.6814398568613553
NiTi,0.108,0.003,9,0.0020864062294368903,-22.09065893418173,7.6324209819423885,6.439525399496575,1.1928955824458134
NiTi,0.108,0.003,11,0.002688092064303951,-34.994052369398545,10.186259273330087,8.296580445382565,1.889678827947522
NiTi,0.108,0.004,5,0.0013685517399339728,-4.681701567621039,3.420755727091288,3.167943842439752,0.2528118846515359
NiTi,0.108,0.004,7,0.0019850438474945183,-9.668474858642778,5.117106548604021,4.595008906237311,0.5220976423667096
NiTi,0.108,0.004,9,0.0026514556486917852,-16.275365131574947,7.016498533521216,6.137628816416169,0.8788697171050472
NiTi,0.108,0.004,11,0.003372304404195745,-25.631038222645795,9.19033625892043,7.806260194897558,1.3840760640228726
NiTi,0.108,0.004,13,0.004164748343354058,-38.3386924806762,11.710910559127946,9.640621165171432,2.0702893939565143
NiTi,0.108,0.004,15,0.005056160833671865,-55.87191200327654,14.72115925204699,11.704076003870057,3.0170832481769327
NiTi,0.108,0.005,5,0.0016848943831281455,-3.5487814630904055,3.311808982577521,3.1201747835706395,0.19163419900688172
NiTi,0.108,0.005,7,0.002426824371413612,-7.661788445351131,4.907855782370464,4.494119206321503,0.41373657604896064
NiTi,0.108,0.005,9,0.0032194305066378954,-12.928921324753672,6.66007009716243,5.961908345625732,0.6981617515366985
NiTi,0.108,0.005,11,0.004065147005835651,-20.238640081626592,8.620936575214598,7.528050010806762,1.092886564407836
NiTi,0.108,0.005,13,0.0049772834376318326,-29.98769934912237,10.836527316022668,9.21719155117006,1.6193357648526074
NiTi,0.108,0.005,15,0.0059758925279995425,-42.94930778235299,13.385730264690658,11.066467644443597,2.319262620247061
NiTi,0.108,0.006,15,0.00691744755853458,-35.04768570959114,12.5676484211182,10.675073392800279,1.8925750283179212
NiTi,0.108,0.006,5,0.0019961027064389464,-3.303801762164469,3.2588107063280947,3.0804054111712134,0.1784052951568813
NiTi,0.108,0.006,7,0.0028706035024201972,-6.2599584664419465,4.767981433762244,4.4299436765743785,0.3380377571878652
NiTi,0.108,0.006,9,0.0037888603647685377,-10.804967001983986,6.430474953861051,5.847006735753916,0.5834682181071349
NiTi,0.108,0.006,11,0.004762390941957871,-16.776329037713356,8.255290505625828,7.349368737589307,0.9059217680365208
NiTi,0.108,0.006,13,0.005799296877668558,-24.733553650231237,10.285144115736806,8.949532218624318,1.3356118971124875
NiTi,0.108,0.007,11,0.005463205036316847,-14.34922591076295,8.001319887430997,7.226461688249797,0.7748581991811996
NiTi,0.108,0.007,13,0.006628741964007088,-21.0304175365313,9.903819748040267,8.768177201067576,1.13564254697269
NiTi,0.108,0.007,15,0.007872156619638256,-29.643433702444803,12.013651001464105,10.412905581532085,1.6007454199320197
NiTi,0.108,0.007,5,0.002311502918308848,-2.847817561212868,3.211325691042066,3.057543542736571,0.15378214830549508
NiTi,0.108,0.007,7,0.0033129740197732197,-5.446292648157288,4.676340569896287,4.3822407668957934,0.29409980300049376
NiTi,0.108,0.007,9,0.004362566730029432,-9.136068820140428,6.263938629024927,5.770590912737344,0.493347716287583
NiTi,0.108,0.008,7,0.00375755686974747,-4.759385526196202,4.606030973214907,4.349024154800312,0.2570068184145953
NiTi,0.108,0.008,9,0.004936181707446733,-8.007391677625643,6.145572423099577,5.713173272507793,0.4323991505917846
NiTi,0.108,0.008,11,0.006167918538421797,-12.501033333221066,7.813850404648795,7.138794604654858,0.6750557999939373
NiTi,0.108,0.008,13,0.0074620626793583025,-18.409103512913383,9.630738209324988,8.636646619627665,0.994091589697323
NiTi,0.108,0.008,15,0.008835536864401814,-25.74619440469334,11.616610313133318,10.226315815279877,1.390294497853441
NiTi,0.108,0.008,5,0.002628802108377052,-2.4054672272994626,3.1724902631179814,3.0425950328438103,0.12989523027417116
NiTi,0.108,0.009,5,0.0029487272084961404,-1.9358335773631257,3.138204980766231,3.0336699675886223,0.1045350131776086
NiTi,0.108,0.009,7,0.004202459329765907,-4.26491794987531,4.553823398270537,4.323517828977271,0.2303055692932663
NiTi,0.108,0.009,9,0.0055111304493223375,-7.162545385827457,6.0566647443761825,5.6698872935415,0.38677745083468285
NiTi,0.108,0.009,11,0.006873821295348356,-11.167695981240163,7.6748881913700515,7.071832608383083,0.6030555829869684
NiTi,0.108,0.009,13,0.008303067506126183,-16.197535587242303,9.416917442417034,8.54225052070595,0.8746669217110838
NiTi,0.108,0.009,15,0.009806673213152256,-22.74797284121671,11.317560505804568,10.089169972378865,1.2283905334257028
NiTi,0.108,0.01,5,0.0032648069982854446,-1.7914680255885898,3.119708716238677,3.022969442856893,0.09673927338178379
NiTi,0.108,0.01,7,0.004650100112833565,-3.7784838570778043,4.509686380905873,4.305648252623672,0.20403812828220147
NiTi,0.108,0.01,9,0.006089310330799933,-6.405346439865341,5.984139014048962,5.638250306296234,0.34588870775272795
NiTi,0.108,0.01,11,0.0075823934350357745,-10.103987082989374,7.566349964551588,7.020734662070161,0.5456153024814263
NiTi,0.108,0.01,13,0.009145906247621832,-14.575678203385046,9.255518333743748,8.468431710760955,0.7870866229827929
NiTi,0.108,0.01,15,0.010782290313890379,-20.493900626551284,11.090272776324861,9.983602142491092,1.1066706338337688
NiTi,0.157,0.004,9,0.0028310086631471213,-11.413459646030882,5.403932160473172,4.507975578259748,0.8959565822134241
NiTi,0.157,0.004,11,0.003662644908598985,-18.318950417885496,7.270274723407491,5.83223711560348,1.4380376078040111
NiTi,0.157,0.004,13,0.004627174296350982,-28.158267864290412,9.578535964211419,7.368111936864621,2.2104240273467974
NiTi,0.157,0.004,15,0.005810086562974287,-43.75438315112348,12.68644927318212,9.251730195818928,3.4347190773631926
NiTi,0.157,0.004,5,0.0014181404403815468,-3.341774378827047,2.5205147033582205,2.2581854146202973,0.26232928873792316
NiTi,0.157,0.004,7,0.0020903166600908514,-6.545801574531623,3.842375137121196,3.3285297135204637,0.5138454236007322
NiTi,0.157,0.005,5,0.0017338663148806313,-2.564669770918651,2.410073474954224,2.20874689793711,0.20132657701711398
NiTi,0.157,0.005,7,0.0025275538555665344,-5.304494374461147,3.636216637142377,3.2198138287471774,0.41640280839519983
NiTi,0.157,0.005,9,0.0033927295474334637,-9.064801235174095,5.033535365029272,4.321948468068106,0.7115868969611663
NiTi,0.157,0.005,11,0.00434413086313395,-14.193982343354403,6.648152280365996,5.533924666412675,1.1142276139533207
NiTi,0.157,0.005,13,0.0054002095358293666,-21.716986025770534,8.584031219366128,6.879247816343142,1.7047834030229865
NiTi,0.157,0.005,15,0.0066292638830873635,-31.95648256972286,10.95350602578358,8.444922144060335,2.5085838817232453
NiTi,0.157,0.006,5,0.002045957345940073,-2.223407580197191,2.3464667370200796,2.1719292419746,0.17453749504547966
NiTi,0.157,0.006,7,0.002966517320083793,-4.465052296534869,3.4996757348786165,3.1491691296006294,0.35050660527798705
NiTi,0.157,0.006,9,0.003957002964886841,-7.5549113387954785,4.793700630208864,4.200640090113419,0.5930605400954452
NiTi,0.157,0.006,11,0.005029132475579247,-11.77012703393031,6.262736793372921,5.338781821209392,0.9239549721635294
NiTi,0.157,0.006,13,0.006202592051857382,-17.560828594705303,7.963017668736788,6.584492624052422,1.3785250446843662
NiTi,0.157,0.006,15,0.007514357663671789,-25.594382127397896,9.986184117671424,7.977025120670689,2.0091589970007355
NiTi,0.157,0.007,15,0.00843533290368549,-21.294998935804276,9.347119567220862,7.675462150760226,1.6716574164606355
NiTi,0.157,0.007,5,0.0023621386397680412,-1.8459186593879955,2.294257335206035,2.149352720444077,0.1449046147619577
NiTi,0.157,0.007,7,0.003409351378611511,-3.7636996469973005,3.3976809760759226,3.1022305537866344,0.2954504222892882
NiTi,0.157,0.007,9,0.004526980634297009,-6.366752146913822,4.6189716943944354,4.119181650861701,0.4997900435327347
NiTi,0.157,0.007,11,0.005721921443428163,-10.001157384420448,5.991570785002904,5.206479930325899,0.785090854677005
NiTi,0.157,0.007,13,0.007020738957913864,-14.605915637256135,7.53486188245078,6.388297504926173,1.1465643775246068
NiTi,0.157,0.008,9,0.005093775648003835,-5.64833242279564,4.498947955065122,4.055553859875665,0.4433940951894577
NiTi,0.157,0.008,11,0.006421743121541412,-8.570728681384008,5.785655005263654,5.112852803775009,0.6728022014886443
NiTi,0.157,0.008,13,0.007837280776126814,-12.754142129034289,7.241073386529521,6.239873229400329,1.0012001571291922
NiTi,0.157,0.008,15,0.009375795871773845,-18.16139305886736,8.890474985514276,7.464805630393188,1.4256693551210882
NiTi,0.157,0.008,5,0.0026763367826822667,-1.635872292593594,2.259257362454478,2.130841387485881,0.1284159749685969
NiTi,0.157,0.008,7,0.0038519733657911438,-3.2685819145469206,3.3234414556033536,3.06685777531142,0.25658368029193346
NiTi,0.157,0.009,7,0.004296926057710618,-2.843608989741972,3.264218392538778,3.040995086844033,0.22322330569474502
NiTi,0.157,0.009,9,0.005666944413687875,-4.95169090208579,4.399284107850447,4.010576372036713,0.3887077358137345
NiTi,0.157,0.009,11,0.007117857567294159,-7.677326662035638,5.640078187763965,5.037408044794168,0.6026701429697976
NiTi,0.157,0.009,13,0.008657895973140914,-11.395752925825667,7.021881518435923,6.1273149137586085,0.8945666046773146
NiTi,0.157,0.009,15,0.010316908504773112,-16.11456728497274,8.566414978985089,7.301421447114729,1.2649935318703598
NiTi,0.157,0.009,5,0.0029931397254278668,-1.4076449085001785,2.2287872629166037,2.1182871375993395,0.11050012531726416
NiTi,0.157,0.01,5,0.0033073685390180435,-1.2999455538317395,2.208649890955437,2.1066041649796454,0.10204572597579142
NiTi,0.157,0.01,7,0.004738591861899658,-2.605329673325145,3.2227297563621757,3.0182113770061516,0.20451837935602413
NiTi,0.157,0.01,9,0.006246052350723728,-4.266590728128865,4.313304665612719,3.9783772934546033,0.33492737215811585
NiTi,0.157,0.01,11,0.007820453474979209,-6.866688210855048,5.520215581863719,4.981180557311598,0.5390350245521214
NiTi,0.157,0.01,13,0.009488102750831333,-10.190939479657207,6.8433662974533025,6.043377548300212,0.7999887491530906
NiTi,0.157,0.01,15,0.011286525035838822,-13.994982282089067,8.287475558722859,7.188869449578867,1.0986061091439918
NiTi,0.206,0.005,5,0.0017839981825038807,-2.00802806224212,1.9388639608030556,1.7320370703921173,0.20682689041093827
NiTi,0.206,0.005,7,0.0026339506139710926,-3.9934085880927577,2.968554690370732,2.557233605797178,0.411321084573554
NiTi,0.206,0.005,9,0.0035768389652889036,-6.947571894614677,4.188259094746189,3.4726591896008774,0.7155999051453117
NiTi,0.206,0.005,11,0.00464025438266869,-11.20762264438417,5.6594864747683555,4.505101342396786,1.1543851323715693
NiTi,0.206,0.005,13,0.0058847958471679685,-17.393135393593642,7.504886971916814,5.713394026376669,1.7914929455401447
NiTi,0.206,0.005,15,0.007445854977103285,-27.343593841897103,10.045375580378785,7.228985414663383,2.8163901657154016
NiTi,0.206,0.006,5,0.002099607612210908,-1.618079278863812,1.865373826087785,1.6987116603648125,0.16666216572297254
NiTi,0.206,0.006,7,0.0030724541610947878,-3.3157871279124786,2.827330411630315,2.48580433745533,0.34152607417498526
NiTi,0.206,0.006,9,0.004137232867854793,-5.74063859195721,3.938561558025632,3.347275783054039,0.5912857749715927
NiTi,0.206,0.006,11,0.00531580554901926,-9.1255064438206,5.240740714699978,4.300813550986456,0.9399271637135218
NiTi,0.206,0.006,13,0.006648555663345467,-13.92084133347422,6.812936999860358,5.379090342512513,1.4338466573478446
NiTi,0.206,0.006,15,0.00822054190174572,-20.957921093221202,8.809589741328093,6.650923868726309,2.1586658726017838
NiTi,0.206,0.007,5,0.002412243194855948,-1.4121075905414768,1.8182925706301742,1.6728454888044022,0.14544708182577204
NiTi,0.206,0.007,7,0.0035124898337697726,-2.823783415034182,2.7266956236276974,2.4358459318791765,0.2908496917485208
NiTi,0.206,0.007,9,0.004699229104279573,-4.928309080043736,3.766443230722711,3.2588273954782063,0.5076158352445046
NiTi,0.206,0.007,11,0.005999485894403579,-7.717548920754573,4.955438672266,4.160531133428279,0.7949075388377214
NiTi,0.206,0.007,13,0.007441390118983065,-11.565064558169762,6.3516663644589375,5.160464714967452,1.1912016494914859
NiTi,0.206,0.007,15,0.009084251891464922,-17.03918420446404,8.054794566308702,6.299758593248907,1.7550359730597958
NiTi,0.206,0.008,13,0.008245430670755317,-9.941980384947655,6.027319289573952,5.003295309924344,1.0240239796496082
NiTi,0.206,0.008,15,0.009986095318924047,-14.383730241581619,7.541048073453323,6.059523858570417,1.4815242148829064
NiTi,0.206,0.008,5,0.002727280815550999,-1.2210178167141221,1.780668242616093,1.6549034074945383,0.12576483512155456
NiTi,0.206,0.008,7,0.003953685714283754,-2.4537799893777685,2.651820476214013,2.399081137308103,0.25273933890591005
NiTi,0.206,0.008,9,0.005266542147084817,-4.272100828024856,3.635743707546765,3.195717322260205,0.44002638528656
NiTi,0.206,0.008,11,0.0066870992699842565,-6.712295039828823,4.749072256811262,4.0577058677088935,0.6913663891023685
NiTi,0.206,0.009,9,0.005833413752980045,-3.801423640139384,3.5379402449559563,3.1463936100215997,0.3915466349343566
NiTi,0.206,0.009,11,0.0073805625153958755,-5.913001676445716,4.589925103308146,3.9808859306342375,0.6090391726739086
NiTi,0.206,0.009,13,0.00905385595977152,-8.793289643243316,5.789126287284009,4.8834174540299475,0.905708833254061
NiTi,0.206,0.009,15,0.010897736387531873,-12.637262576896537,7.179597261996327,5.8779592165759835,1.3016380454203436
NiTi,0.206,0.009,5,0.0030395832273879928,-1.1216807430109874,1.755006270461088,1.6394731539309564,0.11553311653013165
NiTi,0.206,0.009,7,0.004393706295841291,-2.200224346346086,2.59647547867758,2.369852371003933,0.2266231076736469
NiTi,0.206,0.01,7,0.004835087516155615,-1.983350951013295,2.551415010165833,2.347129862211464,0.20428514795436925
NiTi,0.206,0.01,9,0.006405754489649803,-3.3662428632325425,3.456312572995381,3.109589558082429,0.3467230149129521
NiTi,0.206,0.01,11,0.008080033177115652,-5.23662411065738,4.461718485881036,3.922346202483326,0.5393722833977099
NiTi,0.206,0.01,13,0.009874385536163356,-7.816639755249336,5.598504931763185,4.793391036972503,0.805113894790682
NiTi,0.206,0.01,15,0.011826391957453029,-11.262537915013521,6.901008374883785,5.740966969637393,1.1600414052463925
NiTi,0.206,0.01,5,0.0033561397119973497,-0.9844256902541114,1.7305898810463434,1.62919403495017,0.10139584609617347
NiTi,0.255,0.006,5,0.002150212866422596,-1.3321823010416822,1.575221129933531,1.4053678865507164,0.1698532433828146
NiTi,0.255,0.006,7,0.003174829928268944,-2.7348850108821328,2.423750079586128,2.075052240698656,0.34869783888747197
NiTi,0.255,0.006,9,0.004320305452867453,-4.713142462061159,3.4246547180745317,2.823729054161734,0.6009256639127978
NiTi,0.255,0.006,11,0.005615662244486078,-7.613668436033289,4.641110205650504,3.67036748005626,0.9707427255942442
NiTi,0.255,0.006,13,0.00714136047248958,-11.863902115226418,6.180203384063643,4.667555864372274,1.5126475196913685
NiTi,0.255,0.006,15,0.009083856867814079,-18.842154557055753,8.339536057537078,5.9371613515124695,2.4023747060246086
NiTi,0.255,0.007,5,0.002463164135340103,-1.1470355680240172,1.5261709202676579,1.3799238853445956,0.14624703492306224
NiTi,0.255,0.007,7,0.003614669770891181,-2.313565885296983,2.3200047321071193,2.025025081731754,0.2949796503753652
NiTi,0.255,0.007,9,0.00487938612838301,-4.014240211446789,3.2453652787146536,2.733549651755188,0.5118156269594656
NiTi,0.255,0.007,11,0.006292402204321829,-6.332059738617288,4.332492913212544,3.5251552965388395,0.8073376166737045
NiTi,0.255,0.007,13,0.00789391742680504,-9.821618087594583,5.674619010260768,4.422362704092459,1.2522563061683094
NiTi,0.255,0.007,15,0.009826478994823406,-14.867352953993821,7.400617750834999,5.505030249200787,1.8955875016342123
NiTi,0.255,0.008,15,0.01065904411127342,-12.398473016073712,6.805826932722644,5.225021623173245,1.5808053095493984
NiTi,0.255,0.008,5,0.0027776408415567375,-0.9946241451923317,1.4884032263339524,1.3615886478219301,0.12681457851202227
NiTi,0.255,0.008,7,0.004054579181468377,-2.0112218921906817,2.2439696056995944,1.9875388144452826,0.2564307912543118
NiTi,0.255,0.008,9,0.005442497273496061,-3.4855827625919393,3.112302622571679,2.6678908203412064,0.4444118022304724
NiTi,0.255,0.008,11,0.006972411866662738,-5.476337243894606,4.116081952843002,3.41784895424644,0.6982329985965623
NiTi,0.255,0.008,13,0.008679874275720596,-8.319659044916989,5.315596859462502,4.254840331235586,1.060756528226916
NiTi,0.255,0.009,11,0.007658173917792338,-4.820840122689997,3.9515520689293964,3.336894953286422,0.6146571156429745
NiTi,0.255,0.009,13,0.009475896021489908,-7.267257571185427,5.055506068644185,4.128930728318043,0.9265753403261421
NiTi,0.255,0.009,15,0.011535486050975147,-10.67994246491203,6.388048242043233,5.0263555777669495,1.3616926642762834
NiTi,0.255,0.009,5,0.003090809843182876,-0.8922415168302993,1.460518895000602,1.346758101604739,0.11376079339586309
NiTi,0.255,0.009,7,0.00449309298096709,-1.7988164284931796,2.187123814008519,1.9577747193756385,0.22934909463288045
NiTi,0.255,0.009,9,0.0060074189526392015,-3.083847469757044,3.010802296463392,2.617611744069369,0.3931905523940231
NiTi,0.255,0.01,9,0.0065715656852142765,-2.7874383697927247,2.9324829745855436,2.5770845824369712,0.3553983921485724
NiTi,0.255,0.01,11,0.008344745858481235,-4.3360772494907955,3.825299205577227,3.272449356267151,0.5528498493100762
NiTi,0.255,0.01,13,0.010283929571659862,-6.430972190509215,4.852862511803597,4.032913557513671,0.8199489542899254
NiTi,0.255,0.01,15,0.012440313274576602,-9.370428434261756,6.0732838506925315,4.878554225324158,1.1947296253683737
NiTi,0.255,0.01,5,0.00340470308342628,-0.8068544674828187,1.438051624379071,1.3351776797750117,0.10287394460405941
NiTi,0.255,0.01,7,0.00493328732921977,-1.62143414952708,2.1413553361116713,1.9346224820469686,0.20673285406470265
NiTi,0.304,0.007,5,0.002514745457750538,-0.9652498720833027,1.328459267093569,1.181741286536907,0.14671798055666208
NiTi,0.304,0.007,7,0.0037200315235981084,-1.9472810550754047,2.044121834844257,1.7481351144727955,0.29598672037146145
NiTi,0.304,0.007,9,0.005066758486919649,-3.376127924429074,2.8941669740807234,2.380995529567504,0.5131714445132194
NiTi,0.304,0.007,11,0.00659319032252671,-5.490978263142635,3.932932418989555,3.098303722991875,0.8346286959976803
NiTi,0.304,0.007,13,0.008402569507370563,-8.575089996888982,5.251989575847879,3.9485758963207536,1.3034136795271252
NiTi,0.304,0.007,15,0.010728446016909908,-13.773012714533893,7.135060910480349,5.041562977871197,2.093497932609152
NiTi,0.304,0.008,5,0.0028291466768408254,-0.8347154661899155,1.290177193640812,1.1633004427799447,0.12687675086086725
NiTi,0.304,0.008,7,0.004157656074001955,-1.7014749282001826,1.9681867195148632,1.7095625304284354,0.2586241890864278
NiTi,0.304,0.008,9,0.005621327849284434,-2.9689915651647754,2.7626879717226585,2.3114012538176127,0.4512867179050457
NiTi,0.304,0.008,11,0.007263820591441581,-4.707935013100942,3.702374457288046,2.986768335296703,0.715606121991343
NiTi,0.304,0.008,13,0.009154330905801398,-7.203616467602185,4.859066029474133,3.764116326398601,1.0949497030755317
NiTi,0.304,0.008,15,0.01144277263768113,-11.125610144828253,6.396180175270938,4.705087433257044,1.6910927420138941
NiTi,0.304,0.009,13,0.009925289160994829,-6.267861515463953,4.580379117380795,3.627664167030274,0.9527149503505208
NiTi,0.304,0.009,15,0.01224996416195825,-9.430478613718856,5.9107588318723465,4.47732608258708,1.4334327492852665
NiTi,0.304,0.009,5,0.0031405350037959022,-0.7583081575713908,1.2631192009873655,1.147856361036514,0.11526283995085151
NiTi,0.304,0.009,7,0.0045976903718708915,-1.4998911898796055,1.9084258482414118,1.6804423873797119,0.22798346086169996
NiTi,0.304,0.009,9,0.00618724274732899,-2.5923679216565403,2.655459056887478,2.261419132795684,0.394039924091794
NiTi,0.304,0.009,11,0.007946329585862937,-4.099060071887593,3.527417359677988,2.9043602287510737,0.6230571309269144
NiTi,0.304,0.01,9,0.0067520630976105256,-2.316558496649329,2.5731902788625813,2.2210733873718835,0.3521168914906978
NiTi,0.304,0.01,11,0.008626616022098034,-3.6751424187297426,3.3963242864949583,2.8377026388480373,0.558621647646921
NiTi,0.304,0.01,13,0.010716899040018957,-5.5248316919850895,4.365070154030075,3.5252957368483413,0.8397744171817338
NiTi,0.304,0.01,15,0.013109567295728177,-8.195250258958591,5.558035702430185,4.31235766306848,1.2456780393617057
NiTi,0.304,0.01,5,0.003454935697977682,-0.6791490543784051,1.2397226621792288,1.1364920059137111,0.10323065626551764
NiTi,0.304,0.01,7,0.005036217793165299,-1.3555692477248347,1.862697115511181,1.656650589857006,0.2060465256541748
NiTi,0.353,0.008,5,0.002880614665480306,-0.7229109772682182,1.1476414735644362,1.0200476860765957,0.12759378748784056
NiTi,0.353,0.008,7,0.004263237485565061,-1.4699513201926417,1.7690914099846318,1.5096450019706305,0.2594464080140013
NiTi,0.353,0.008,9,0.005810214851364747,-2.5585041339943517,2.5090174992550835,2.0574415196050806,0.45157597965000296
NiTi,0.353,0.008,11,0.007575420880473426,-4.117505803742704,3.4092542504489107,2.6825144760883237,0.726739774360587
NiTi,0.353,0.008,13,0.009663505652638989,-6.497028340280998,4.568646767158389,3.4219212650987925,1.1467255020595961
NiTi,0.353,0.008,15,0.0123790038864018,-10.49612350155565,6.236065757798581,4.383499959774009,1.852565798024572
NiTi,0.353,0.009,15,0.013064650554799403,-8.665558154866979,5.641731182668741,4.1122601683347195,1.529471014334021
NiTi,0.353,0.009,5,0.0031946692687869586,-0.6377136793753839,1.1181180850540609,1.0055616206443057,0.1125564644097552
